Date,Open,High,Low,Close,Adj Close,Volume
17-05-2019,83.099998,85.050003,82.599998,84.5,77.842583,13305907
20-05-2019,87.800003,88.300003,86.199997,87.550003,80.65229,34895381
21-05-2019,88.400002,89.800003,87.199997,88.25,81.297134,27443220
22-05-2019,88.849998,89,85.900002,87.849998,80.92865,18235187
23-05-2019,90,91.849998,88.400002,88.849998,81.849869,31464067
24-05-2019,88.849998,95,88.849998,93.800003,86.409874,53728065
27-05-2019,91.699997,91.75,89.550003,91.150002,83.968658,37249413
28-05-2019,92,93.849998,90.800003,91.199997,84.014717,30575742
29-05-2019,90.800003,91,89.050003,89.699997,82.632896,15951343
30-05-2019,89.900002,90.75,89.199997,90.449997,83.323799,19711797
31-05-2019,90.449997,90.550003,87.650002,88.849998,81.849869,20759367
03-06-2019,88.849998,92.300003,87.800003,91.849998,84.61351,34358814
04-06-2019,91.849998,93.75,91.349998,93.050003,85.718971,24114157
06-06-2019,93.050003,93.150002,90.400002,91.300003,84.106842,19319345
07-06-2019,91.150002,91.75,89.099998,90,82.909256,16922481
10-06-2019,91.449997,91.599998,89.25,90.699997,83.554108,15352497
11-06-2019,90.900002,91.75,89.75,91.199997,84.014717,14535974
12-06-2019,90.599998,91.300003,88.849998,89.25,82.218353,13506820
13-06-2019,89.050003,89.199997,87.050003,88.099998,81.158958,14582200
14-06-2019,87.599998,88.800003,87.199997,87.650002,80.744415,11149101
17-06-2019,87.5,87.650002,83.150002,83.650002,77.059555,24248588
18-06-2019,82.699997,84.650002,82.650002,83.650002,77.059555,16736759
19-06-2019,84.150002,84.800003,81.75,82.900002,76.368645,17456059
20-06-2019,80.699997,88.550003,80.400002,87.800003,80.882591,39656557
21-06-2019,86.949997,87.599998,85.75,86.5,79.685013,18399090
24-06-2019,86.650002,87.199997,85.199997,85.800003,79.040161,11625336
25-06-2019,85.800003,89.900002,85.099998,85.699997,78.948036,20836957
26-06-2019,85.650002,86.400002,84.800003,85.699997,78.948036,20424534
27-06-2019,86.050003,88.449997,85.800003,88,81.066833,23155847
28-06-2019,88.650002,88.650002,86.25,87.25,80.375923,14814608
01-07-2019,87.849998,88.5,86.5,87.099998,80.237747,14004525
02-07-2019,87.050003,88.099998,86.099998,87.849998,80.92865,12608552
03-07-2019,88,91,87.900002,90.300003,83.185631,24266937
04-07-2019,90.099998,90.550003,88.900002,89.949997,82.863197,12528964
05-07-2019,90.050003,90.449997,86.5,87.050003,80.191681,14998747
08-07-2019,86,86.199997,83.699997,84.800003,78.11895,15584784
09-07-2019,85.099998,86.199997,82.849998,83.800003,77.197739,17891519
10-07-2019,84,85.650002,83.550003,84.800003,78.11895,14004112
11-07-2019,85.949997,85.949997,83.25,85.150002,78.441376,21121339
12-07-2019,84.599998,85.650002,83.699997,84.900002,78.211067,17694386
15-07-2019,85.400002,86.150002,84.800003,85.449997,78.717735,11215658
16-07-2019,82.449997,86.650002,82.199997,86.349998,79.546829,28109904
17-07-2019,85.5,86.650002,85,85.449997,78.717735,11901649
18-07-2019,85.449997,85.449997,81.050003,81.449997,75.032875,24405105
19-07-2019,82,82.449997,79,79.349998,73.098328,22863618
22-07-2019,79.849998,80.5,78.150002,79.349998,73.098328,19431095
23-07-2019,77.800003,77.800003,74.599998,75,71.900002,33574191
24-07-2019,74.849998,75.300003,71.900002,72.550003,72.550003,29917145
25-07-2019,72.550003,73.199997,71.550003,72.300003,72.300003,17574892
26-07-2019,72.5,74.900002,72.349998,74.199997,74.199997,20215434
29-07-2019,74.099998,74.150002,70.699997,71.650002,71.650002,21564172
30-07-2019,71.5,72.449997,68,68.550003,68.550003,28661597
31-07-2019,67.949997,70.849998,67.550003,69.849998,69.849998,30181821
01-08-2019,69.900002,73.150002,67.150002,68.849998,68.849998,58774538
02-08-2019,68.699997,68.800003,60.849998,64.400002,64.400002,140584299
05-08-2019,63.900002,64.300003,61.650002,63.950001,63.950001,38872870
06-08-2019,63.400002,65.099998,62.700001,63.450001,63.450001,37426726
07-08-2019,63.5,64.5,60.700001,61.150002,61.150002,32589803
08-08-2019,61.650002,63.950001,60.799999,63.549999,63.549999,32732676
09-08-2019,64.150002,65.849998,63.150002,64.300003,64.300003,46588899
13-08-2019,64.5,64.650002,61.299999,61.549999,61.549999,22999939
14-08-2019,62,63.599998,60.299999,62.549999,62.549999,30875450
16-08-2019,61.799999,64.449997,61.349998,63.650002,63.650002,30292259
19-08-2019,63.75,65.25,63.400002,64.5,64.5,24171538
20-08-2019,64.5,64.599998,63,63.849998,63.849998,17439363
21-08-2019,64,64.050003,61.25,61.900002,61.900002,26647994
22-08-2019,62.299999,62.5,57.400002,57.900002,57.900002,33586076
23-08-2019,57.25,60.700001,56.950001,60.25,60.25,37001588
26-08-2019,65,66.25,59.599998,63.150002,63.150002,85564840
27-08-2019,63.450001,68.050003,63.299999,66.650002,66.650002,61055999
28-08-2019,67,67.550003,65.650002,66.75,66.75,31618285
29-08-2019,65.900002,66.300003,64.349998,65.75,65.75,20369412
30-08-2019,65.650002,65.900002,63.049999,64.449997,64.449997,25897781
03-09-2019,63.5,66.699997,61.799999,65.349998,65.349998,47837128
04-09-2019,64.650002,64.900002,61.150002,62.599998,62.599998,43789525
05-09-2019,62.599998,63.5,62.299999,63.049999,63.049999,32336123
06-09-2019,62.5,64.400002,62.25,63.900002,63.900002,32439839
09-09-2019,62.599998,63.349998,62,62.900002,62.900002,29769848
11-09-2019,62,64.699997,60.200001,63.700001,63.700001,62192949
12-09-2019,63.549999,64.699997,62.099998,62.5,62.5,32626666
13-09-2019,62.5,64.199997,62.349998,63.450001,63.450001,41363429
16-09-2019,62.75,63.450001,62.25,62.450001,62.450001,22607379
17-09-2019,63.049999,63.150002,59.700001,59.950001,59.950001,31708818
18-09-2019,60.349998,60.799999,57.450001,59.650002,59.650002,43758798
19-09-2019,59.900002,59.900002,58,58.400002,58.400002,22588369
20-09-2019,58.75,70.150002,57.700001,69.199997,69.199997,119981874
23-09-2019,72.599998,83,71.550003,74.650002,74.650002,96866019
24-09-2019,76.699997,77.599998,73.300003,75.150002,75.150002,63635601
25-09-2019,74.75,75.449997,70.300003,70.75,70.75,48548458
26-09-2019,71,74.099998,70.050003,73.5,73.5,44995349
27-09-2019,73,73,71.150002,71.900002,71.900002,26521149
30-09-2019,72.099998,72.25,65.900002,68.699997,68.699997,41578689
01-10-2019,68,69.75,65,65.949997,65.949997,40792618
03-10-2019,65,68.349998,64.349998,67.650002,67.650002,34086758
04-10-2019,67.849998,72.650002,66.800003,68.050003,68.050003,55436660
07-10-2019,66,66.650002,63.5,64.400002,64.400002,36232884
09-10-2019,64.599998,69.75,64.449997,69.050003,69.050003,48874905
10-10-2019,68.5,70.75,67.550003,68.849998,68.849998,41367276
11-10-2019,68.900002,69.5,66.800003,68.650002,68.650002,28366152
14-10-2019,68.849998,69.699997,66.699997,67.599998,67.599998,25586787
15-10-2019,68,69.650002,67.349998,69.099998,69.099998,24809075
16-10-2019,70,71.949997,69.099998,71.650002,71.650002,35894091
17-10-2019,71.400002,74.099998,71,73.5,73.5,28557723
18-10-2019,73.800003,78.25,73.050003,77.5,77.5,48555721
22-10-2019,77.050003,77.150002,75.150002,76.050003,76.050003,25729454
23-10-2019,75.949997,76.550003,73.699997,75.300003,75.300003,23077314
24-10-2019,75.400002,77.25,74.75,75.849998,75.849998,23358581
25-10-2019,75.599998,75.650002,73.150002,74.699997,74.699997,21594910
29-10-2019,76,80.849998,75.699997,79.25,79.25,43289235
30-10-2019,79.900002,80.349998,77.550003,78.199997,78.199997,27208583
31-10-2019,78.5,79.099998,76.300003,76.75,76.75,22232632
01-11-2019,76.75,77.449997,75.199997,75.949997,75.949997,24861078
04-11-2019,75.050003,76.699997,74,75.199997,75.199997,19855689
05-11-2019,75.150002,76.650002,74.699997,74.949997,74.949997,15228670
06-11-2019,74.5,77.449997,74.400002,76.800003,76.800003,22004305
07-11-2019,76.5,77.150002,75.150002,76.699997,76.699997,15633155
08-11-2019,76.050003,79.25,75.699997,76.550003,76.550003,28384175
11-11-2019,71,79.949997,71,79.199997,79.199997,74700629
